Name,Frequency,Avg_Popularity,Avg_Revenue
Lawrence Kasdan,1,37.885022,314178011.0
Richard Kind,4,62.437031250000004,313856082.5
Alison Doody,2,54.101484,313299883.0
Jemaine Clement,6,33.17397483333333,313097402.8333333
Mark Walton,2,44.9099365,312206329.5
Trieu Tran,2,29.4812745,312014685.5
Mattia Sbragia,2,20.9591115,311730113.0
Eric Bauza,1,36.952268,311594032.0
Tim Conway,1,36.952268,311594032.0
Richard Attenborough,4,23.03917075,310767409.25
Greg Ellis,4,46.836442250000005,310380846.0
J.P. Manoux,1,41.845878,309979994.0
James Lipton,1,41.845878,309979994.0
Brawley Nolte,1,16.411345,309492681.0
Nancy Ticotin,1,16.411345,309492681.0
Bobby Moynihan,3,24.079009666666668,309040804.6666667
Eddie Deezen,2,42.137748,308734881.0
Warwick Davis,2,48.6642285,308669508.0
Noel Fisher,3,77.474467,308430201.3333333
Johnny Galecki,3,48.214755000000004,307848700.3333333
Constance Marie,2,13.802353499999999,307493738.5
Lotte Verbeek,1,74.358971,307166834.0
Randy Kovitz,1,74.358971,307166834.0
Ana Dela Cruz,1,74.358971,307166834.0
David Fine,1,80.581367,307077295.0
Khamani Griffin,1,61.788035,306941670.0
Kamil McFadden,1,61.788035,306941670.0
Georgie Grieve,1,61.788035,306941670.0
Shia LaBeouf,16,37.994339,306808536.0
Leslie Zemeckis,1,47.323228,305875730.0
Peter Scolari,1,47.323228,305875730.0
Chris Coppola,1,47.323228,305875730.0
Andy Serkis,15,63.48686533333333,305567937.8
Sasha Roiz,2,36.845157,304968561.5
Brad Garrett,9,35.28387655555556,304849388.4444444
